X_m,Y_m,U_mps,Depth_m
0.0,0.0,-0.0,0.272
0.04,0.0,0.877,0.272
0.08,0.0,0.882,0.272
0.119,0.0,0.886,0.272
0.159,0.0,0.89,0.272
0.199,0.0,0.893,0.272
0.239,0.0,0.896,0.271
0.278,0.0,0.899,0.271
0.318,0.0,0.902,0.271
0.358,0.0,0.906,0.271
0.398,0.0,0.909,0.271
0.437,0.0,0.914,0.27
0.477,0.0,0.919,0.27
0.517,0.0,0.926,0.27
0.557,0.0,0.934,0.269
0.596,0.0,0.944,0.268
0.636,0.0,0.957,0.267
0.676,0.0,0.971,0.265
0.716,0.0,0.987,0.262
0.755,0.0,1.002,0.257
0.756,0.0,1.003,0.257
0.788,0.0,1.001,0.249
0.814,0.0,0.994,0.235
0.817,0.0,0.988,0.234
0.821,0.0,0.803,0.231
0.839,0.0,-0.0,0.224
0.99,0.0,-0.0,0.23
1.006,0.0,0.697,0.233
1.012,0.0,0.966,0.237
1.021,0.0,0.985,0.241
1.041,0.0,0.998,0.25
1.073,0.0,0.995,0.259
1.073,0.0,0.995,0.259
1.113,0.0,0.982,0.263
1.153,0.0,0.967,0.265
1.193,0.0,0.953,0.267
1.232,0.0,0.941,0.268
1.272,0.0,0.931,0.269
1.312,0.0,0.923,0.27
1.352,0.0,0.917,0.27
1.391,0.0,0.911,0.271
1.431,0.0,0.907,0.271
1.471,0.0,0.904,0.271
1.511,0.0,0.9,0.271
1.551,0.0,0.897,0.272
1.59,0.0,0.894,0.272
1.63,0.0,0.891,0.272
1.67,0.0,0.888,0.272
1.71,0.0,0.885,0.272
1.749,0.0,0.88,0.272
1.789,0.0,0.876,0.272
1.829,0.0,0.0,0.272
